area,ies,Ncursos,municipio,N,idd,cpc,cpcf,ano
1,437,1,4128104,90,-1.0029066801071167,2.50480055809021,3,2012
1,438,1,3524105,65,6.6987433433532715,3.289220094680786,4,2012
1,441,1,4203808,46,-1.6516592502593994,2.409297466278076,3,2012
1,441,1,4204301,40,0.08809304237365723,2.698819637298584,3,2012
1,441,1,4204806,40,4.261126518249512,2.8507626056671143,3,2012
1,441,2,4210100,86,4.425256252288818,3.313788890838623,4,2012
1,441,1,4215000,35,-0.966264009475708,2.3917479515075684,3,2012
1,446,1,4306106,39,5.101675033569336,3.0070371627807617,4,2012
1,448,1,4314902,81,-1.9934642314910889,2.808572292327881,3,2012
1,449,1,4303004,54,5.655954360961914,3.3297111988067627,4,2012
1,449,2,4304606,3571,-5.061227321624756,1.9929654598236084,3,2012
1,449,1,4304705,15,1.2678625583648682,2.872864246368408,3,2012
1,449,1,4309209,129,-0.29570794105529785,2.5564584732055664,3,2012
1,449,1,4309308,57,5.534712791442871,3.2566752433776855,4,2012
1,449,1,4316907,15,10.243459701538086,3.8631937503814697,4,2012
1,449,1,4318408,44,11.325287818908691,3.799309492111206,4,2012
1,449,1,4321501,30,3.873337745666504,3.173380136489868,4,2012
1,450,1,1100122,25,8.545466423034668,3.1140265464782715,4,2012
1,452,1,1302603,34,,2.5981335639953613,3,2012
1,453,1,1721000,32,-0.24786710739135742,3.009094715118408,4,2012
1,454,1,4303509,20,-2.8710131645202637,1.6373605728149414,2,2012
1,456,2,3550308,323,-1.5768179893493652,2.046792507171631,3,2012
1,457,1,3534401,158,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,457,1,3548708,134,-2.2443151473999023,2.606383800506592,3,2012
1,457,4,3550308,250,-3.73105788230896,2.188549041748047,3,2012
1,458,2,3550308,26,-3.2166693210601807,2.1772687435150146,3,2012
1,461,1,3550308,244,-7.734434127807617,2.023465394973755,3,2012
1,466,5,3550308,697,-3.6131784915924072,2.5796661376953125,3,2012
1,467,1,3522307,28,-8.775513648986816,0.9357961416244507,1,2012
1,472,2,3301702,428,-1.117749571800232,2.739847421646118,3,2012
1,472,1,3302403,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,472,1,3302502,64,-1.956712007522583,2.660731554031372,3,2012
1,472,1,3303500,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,472,2,3304557,282,-1.1537280082702637,2.838273286819458,3,2012
1,472,1,3305109,117,1.887683391571045,2.80658221244812,3,2012
1,472,1,3305604,29,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,473,1,3304201,57,0.2959926128387451,2.4519619941711426,3,2012
1,480,1,3305802,64,-1.7074096202850342,2.242764949798584,3,2012
1,481,2,3518800,168,-1.3629343509674072,2.171994686126709,3,2012
1,481,1,3523107,73,-3.677503824234009,1.691825032234192,2,2012
1,481,1,3550308,54,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,482,3,4204608,197,-1.706453561782837,2.4474480152130127,3,2012
1,483,1,3518800,140,0.29570651054382324,2.3467118740081787,3,2012
1,489,1,3306305,65,-2.3270835876464844,2.914607524871826,3,2012
1,491,1,3518701,96,-4.717583179473877,2.114226818084717,3,2012
1,492,1,3518404,27,-7.461629390716553,1.057075023651123,2,2012
1,494,1,4201406,39,4.6465349197387695,2.844148874282837,3,2012
1,494,1,4202800,25,-3.9503872394561768,2.2479326725006104,3,2012
1,494,2,4205407,57,0.8330622911453247,2.804539442062378,3,2012
1,494,1,4207007,8,,,SC,2012
1,494,1,4211900,36,1.3261661529541016,2.771426200866699,3,2012
1,494,2,4218707,427,,3.221822738647461,4,2012
1,496,2,3516200,121,-3.335519790649414,1.9529122114181519,3,2012
1,502,1,3548500,128,-2.8500561714172363,2.4485814571380615,3,2012
1,507,1,3134202,43,-1.7528314590454102,1.7712475061416626,2,2012
1,508,1,3132404,66,-2.0186309814453125,2.062925100326538,3,2012
1,509,1,3513405,26,,,SC,2012
1,513,1,3127701,63,3.32460880279541,2.1923367977142334,3,2012
1,514,2,3300407,131,0.035860300064086914,2.2209692001342773,3,2012
1,515,1,3303302,83,-10.194801330566406,1.934807538986206,2,2012
1,516,2,3304557,172,-4.591872215270996,2.4164979457855225,3,2012
1,517,1,3524303,35,-1.5075786113739014,2.61285138130188,3,2012
1,518,1,5300108,152,-1.0541818141937256,2.6832656860351562,3,2012
1,519,1,2927408,108,-0.06762625277042389,2.652095079421997,3,2012
1,521,3,3530607,307,5.620023727416992,2.8909189701080322,3,2012
1,521,1,3550308,366,-2.8231585025787354,1.9532897472381592,3,2012
1,522,1,3304557,49,-5.317607879638672,1.4331411123275757,2,2012
1,526,2,3530607,101,,2.557905673980713,3,2012
1,527,1,5208707,439,-1.7497482299804688,2.4146618843078613,3,2012
1,528,1,3304557,322,-2.9223814010620117,2.897169589996338,3,2012
1,532,2,4310207,137,3.32236909866333,3.0195915699005127,4,2012
1,532,1,4313904,34,8.960811614990234,3.6072142124176025,4,2012
1,532,1,4317202,71,-1.2722121477127075,2.7533748149871826,3,2012
1,532,1,4321907,34,6.423595428466797,3.1913034915924072,4,2012
1,533,1,3522307,25,-5.525240898132324,1.802268147468567,2,2012
1,535,1,4114203,36,-10.554736137390137,0.971287727355957,2,2012
1,545,1,3131703,88,-2.072634220123291,2.8857901096343994,3,2012
1,546,1,3505708,43,-1.3848199844360352,3.1127045154571533,4,2012
1,546,5,3550308,703,-7.231181621551514,2.4355673789978027,3,2012
1,547,1,3304557,50,-1.2655439376831055,2.8887557983398438,3,2012
1,548,2,2111300,67,-3.8280630111694336,2.3889267444610596,3,2012
1,550,2,2504009,134,0.7181439399719238,2.3732128143310547,3,2012
1,550,1,2510808,89,1.5525028705596924,2.3366641998291016,3,2012
1,555,1,2304400,185,-4.467904567718506,2.35724139213562,3,2012
1,568,1,2100055,0,,,SC,2012
1,568,1,2101202,24,-4.456367015838623,1.1160354614257812,2,2012
1,568,1,2105302,65,2.6838653087615967,2.1846423149108887,3,2012
1,568,1,2111300,63,4.024199962615967,2.5989606380462646,3,2012
1,568,1,2112209,26,-2.6758716106414795,1.7625937461853027,2,2012
1,569,2,1501402,93,-5.583429336547852,1.9460822343826294,3,2012
1,569,1,1502400,0,,,SC,2012
1,569,1,1505536,0,,,SC,2012
1,570,1,2403103,44,0.5102705955505371,2.536407947540283,3,2012
1,570,2,2408102,190,2.400117874145508,3.1671202182769775,4,2012
1,571,4,4106902,193,-0.4461936950683594,3.230724334716797,4,2012
1,571,2,4115705,35,,,SC,2012
1,572,1,3302205,54,-0.6960723400115967,2.5001628398895264,3,2012
1,572,1,3302403,13,0.551386833190918,3.4965779781341553,4,2012
1,572,1,3303302,143,-3.2650833129882812,2.8317999839782715,3,2012
1,572,1,3306305,42,3.4309091567993164,3.60038685798645,4,2012
1,573,3,3205309,154,-7.559514045715332,2.4384005069732666,3,2012
1,574,1,3303500,97,-3.138503074645996,2.972407341003418,4,2012
1,574,4,3305554,202,3.833611488342285,3.675349473953247,4,2012
1,574,1,3306008,39,-2.236055850982666,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,575,2,3106200,133,0.9776029586791992,3.818685531616211,4,2012
1,575,1,3143302,31,-0.6818132400512695,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,576,2,3136702,99,10.724088668823242,4.206135272979736,5,2012
1,577,1,2700300,37,-1.7036161422729492,2.456448554992676,3,2012
1,577,2,2704302,102,0.24554777145385742,3.1082866191864014,4,2012
1,578,1,2903201,41,11.626838684082031,3.714390754699707,4,2012
1,578,1,2927408,103,-0.4196205139160156,3.094341516494751,4,2012
1,579,1,2501500,67,2.0611910820007324,2.6631600856781006,3,2012
1,579,1,2507507,162,3.241943836212158,3.099573850631714,4,2012
1,580,1,2604106,167,6.441181659698486,3.484546422958374,4,2012
