area,ies,municipio,Ncursos,N,idd,cpc,cpcf,ano
5,661,2800308,1,46,15.698593139648438,2.9049997329711914,3,2013
5,664,3205200,1,57,15.022228240966797,3.484689950942993,4,2013
5,669,1302603,1,24,12.395357131958008,2.5548014640808105,3,2013
5,671,5002704,1,35,14.689584732055664,2.980823278427124,4,2013
5,673,5003702,1,0,,,SC,2013
5,694,5002704,1,39,13.86380386352539,3.313278913497925,4,2013
5,757,1506807,1,40,10.791765213012695,2.1902949810028076,3,2013
5,763,5208707,1,34,14.282876968383789,2.953796863555908,4,2013
5,780,5103403,1,15,22.752445220947266,4.169003009796143,5,2013
5,789,1400100,1,0,,,,2013
5,826,5212501,1,14,11.850915908813477,2.3268113136291504,3,2013
5,953,3548500,1,16,10.954309463500977,2.2668569087982178,3,2013
5,1027,3301009,1,15,7.737720489501953,2.7804245948791504,3,2013
5,1045,3526704,1,44,11.974466323852539,2.551562547683716,3,2013
5,1053,2910800,1,12,14.078311920166016,2.511718988418579,3,2013
5,1078,4104303,1,14,24.501667022705078,4.0179548263549805,4,2013
5,1087,1100205,1,19,14.845321655273438,2.2781736850738525,3,2013
5,1126,4109401,1,49,15.709632873535156,3.549835443496704,4,2013
5,1129,3549805,1,0,,,,2013
5,1157,3204609,1,0,,,,2013
5,1166,2516201,1,0,,,,2013
5,1196,4115200,1,22,21.019107818603516,4.064107418060303,5,2013
5,1230,3515186,1,35,12.220930099487305,2.3310768604278564,3,2013
5,1245,3201407,1,35,18.28514289855957,3.1478703022003174,4,2013
5,1281,3522406,1,10,18.741968154907227,3.997516632080078,5,2013
5,1292,3500105,1,39,11.627382278442383,2.5936620235443115,3,2013
5,1303,5221809,1,0,,,,2013
5,1307,3516705,1,18,9.467269897460938,2.6209182739257812,3,2013
5,1317,3504503,1,0,,,,2013
5,1336,4104808,1,85,12.548036575317383,2.360759973526001,3,2013
5,1396,4108304,1,0,,,,2013
5,1430,4115200,1,0,,,,2013
