ies,siglies,orgacad,catadm,curso,area,modalidade,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
163,UNESA,Universidade,Privada com fins lucrativos,4951,81,Educação Presencial,3304557,26,23,1.332859727,13,0.565217391,-3.881265484,2.257802405,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4953,18,Educação Presencial,3304201,83,83,1.701721949,45,0.542168675,0.038538957,2.618003175,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4958,26,Educação Presencial,3304557,20,15,3.231043047,10,0.666666667,2.287173984,2.810212526,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4961,2,Educação Presencial,3301009,89,78,2.633422419,42,0.538461538,0.475580821,2.99578173,4,2018
163,UNESA,Universidade,Privada com fins lucrativos,4964,2,Educação Presencial,3304557,147,128,2.67812636,67,0.5234375,-0.548803121,2.484241217,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4965,18,Educação Presencial,3303401,105,101,2.168654523,63,0.623762376,-0.049919651,2.75768232,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4972,1,Educação Presencial,3304557,60,47,2.569870739,22,0.468085106,0.278796891,2.814909879,3,2018
165,UVA,Universidade,Privada com fins lucrativos,5073,38,Educação Presencial,3304557,15,11,2.070767215,5,0.454545455,-0.726234156,2.867350335,3,2018
165,UVA,Universidade,Privada com fins lucrativos,5074,29,Educação Presencial,3304557,44,36,2.450746268,30,0.833333333,-0.158752442,2.66572931,3,2018
165,UVA,Universidade,Privada com fins lucrativos,5080,2,Educação Presencial,3304557,242,219,3.258061438,144,0.657534247,0.38098831,3.356605541,4,2018
165,UVA,Universidade,Privada com fins lucrativos,5081,22,Educação Presencial,3304557,115,91,2.843367095,62,0.681318681,-0.534427202,2.83479407,3,2018
165,UVA,Universidade,Privada com fins lucrativos,5084,1,Educação Presencial,3304557,141,117,3.100617579,86,0.735042735,0.12429424,3.146949134,4,2018
165,UVA,Universidade,Privada com fins lucrativos,5085,26,Educação Presencial,3304557,93,59,1.748666898,46,0.779661017,-0.177654705,2.715332329,3,2018
166,0,Faculdade,Privada sem fins lucrativos,5112,1,Educação Presencial,3159605,97,89,2.889097183,79,0.887640449,0.168275775,2.640020553,3,2018
167,UMESP,Universidade,Privada sem fins lucrativos,5118,18,Educação Presencial,3548708,189,179,1.984654489,131,0.731843575,-0.603517459,2.58602037,3,2018
167,UMESP,Universidade,Privada sem fins lucrativos,5129,22,Educação Presencial,3548708,70,50,2.822759501,35,0.7,0.661809096,2.782213246,3,2018
167,UMESP,Universidade,Privada sem fins lucrativos,5132,67,Educação Presencial,3548708,26,26,3.139083105,20,0.769230769,0.508632987,2.715408242,3,2018
171,FDSM,Faculdade,Privada sem fins lucrativos,5187,2,Educação Presencial,3152501,224,216,3.409870132,182,0.842592593,0.264011923,3.143609131,4,2018
176,UCB,Universidade,Privada sem fins lucrativos,5227,1,Educação Presencial,3304557,60,46,2.370400001,29,0.630434783,-0.690164968,2.475536267,3,2018
176,UCB,Universidade,Privada sem fins lucrativos,5228,38,Educação Presencial,3304557,18,13,2.053046991,6,0.461538462,-0.838367239,2.627009552,3,2018
176,UCB,Universidade,Privada sem fins lucrativos,5233,22,Educação Presencial,3304557,27,27,2.51597124,16,0.592592593,1.678469773,3.076237085,4,2018
176,UCB,Universidade,Privada sem fins lucrativos,5236,2,Educação Presencial,3304557,6,6,2.458062346,2,0.333333333,0.246667513,2.920565822,3,2018
2409,ASCES-UNITA,Centro Universitário,Privada sem fins lucrativos,5275,2,Educação Presencial,2604106,397,342,2.756430375,294,0.859649123,-0.003075647,2.528918997,3,2018
1041,UNIVATES,Universidade,Privada sem fins lucrativos,5309,22,Educação Presencial,4311403,94,93,2.540930466,43,0.462365591,0.174778386,3.075258554,4,2018
