ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
5,508,17,2211001,34.0,0.8095238208770752,-0.2809227705001831,2.8504623586913382,3,2016
5,99916,17,2201903,47.0,0.8867924809455872,0.34695327281951904,3.2485519845801027,4,2016
5,516,19,2211001,22.0,0.95652174949646,0.8138922452926636,3.175596159034381,4,2016
5,486,23,2211001,47.0,0.9791666865348816,0.19972312450408936,3.4845249678052284,4,2016
5,99864,23,2208007,29.0,0.9354838728904724,0.7222257256507874,2.8719578509246575,3,2016
5,116632,23,2203909,30.0,0.9677419066429138,0.9774158596992493,3.120799724768136,4,2016
5,488,28,2211001,64.0,0.9275362491607666,-0.34280526638031006,2.809032532377271,3,2016
5,102580,28,2208007,30.0,0.9090909361839294,0.2899371087551117,2.35780416258882,3,2016
5,102564,36,2207702,63.0,0.9264705777168274,0.05815643072128296,2.9193043917428874,3,2016
5,497,38,2211001,33.0,1.0,0.24895848333835602,3.350663909161491,4,2016
5,99722,51,2201903,16.0,0.9411764740943909,-1.3031237125396729,2.595614952474232,3,2016
5,102566,55,2207702,17.0,0.9444444179534912,-0.330593466758728,2.7394122400975855,3,2016
6,103596,12,3146107,59.0,0.8082191944122314,-0.2258380800485611,3.1705336717412247,4,2016
6,590,19,3146107,42.0,0.9130434989929199,-0.5314031839370728,3.1331873445416676,4,2016
6,591,28,3146107,27.0,0.931034505367279,0.16007421910762787,3.260530559062195,4,2016
6,121669,38,3140001,30.0,0.9090909361839294,-1.3654205799102783,2.799076286850681,3,2016
6,1083188,3501,3146107,13.0,0.6499999761581421,-0.9199945330619812,3.1309276682025873,4,2016
7,90091,12,3548906,34.0,1.0,-1.0058395862579346,3.0529543502541405,4,2016
7,632,17,3503307,69.0,0.9452054500579834,-0.41726282238960266,3.350691186016553,4,2016
7,115102,17,3503307,22.0,0.8799999952316284,-0.8291463851928711,3.1720346464118365,4,2016
7,119940,17,3552205,,,,2.4326038012666973,3,2016
7,626,23,3548906,32.0,0.9696969985961914,0.21726879477500916,3.575415811211597,4,2016
7,627,36,3548906,9.0,1.0,0.0634983479976654,3.3731274461390135,4,2016
7,300635,3501,3548906,6.0,1.0,0.1954951286315918,3.6541196674810483,4,2016
8,695,5,3171303,79.0,0.987500011920929,-0.8310065269470215,3.317565089343149,4,2016
