ies,orgacad,catadm,curso,area,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano,adm
68,Faculdade,Privada,3542,1,3537305,38,36,1.9706193208694458,13.0,0.3611111044883728,1.1047261953353882,2.3322754981291247,3,2015,priv
71,Universidade,Estadual,3558,1,2408003,65,60,2.8676350116729736,40.0,0.6666666865348816,-0.17361243069171906,2.206626344650267,3,2015,pub
71,Universidade,Estadual,57624,1,2407203,1,1,,,,,,SC,2015,pub
71,Universidade,Estadual,72602,1,2409407,14,12,1.91059148311615,6.0,0.5,-1.8390588760375977,,Curso não reconhecido até 31/12/2015,2015,pub
76,Universidade,Estadual,3659,1,4202404,241,229,2.4837515354156494,90.0,0.3930130898952484,-0.38964006304740906,2.314769736204116,3,2015,pub
77,Faculdade,Privada,49422,1,3300704,27,22,2.2800416946411133,12.0,0.5454545617103577,0.24955856800079346,3.0841362962266228,4,2015,priv
80,Centro Universitário,Privada,3776,1,4214805,103,88,2.4262688159942627,48.0,0.5454545617103577,0.2959018647670746,2.860617340327704,3,2015,priv
80,Centro Universitário,Privada,20046,1,4217808,35,31,2.266080379486084,26.0,0.8387096524238586,0.14581914246082306,2.82476002108063,3,2015,priv
80,Centro Universitário,Privada,37868,1,4214003,21,19,1.8676599264144897,6.0,0.31578946113586426,-1.441935658454895,2.5555576643226314,3,2015,priv
81,Universidade,Privada,3797,1,4209102,182,138,1.5299010276794434,68.0,0.49275362491607666,-1.1615709066390991,2.106022221090708,3,2015,priv
81,Universidade,Privada,17876,1,4215802,67,59,2.6618430614471436,30.0,0.508474588394165,0.7967286705970764,2.686756248123243,3,2015,priv
81,Universidade,Privada,103656,1,4216206,30,29,0.6891576051712036,15.0,0.517241358757019,-1.700426697731018,1.7784193491893534,2,2015,priv
82,Universidade,Estadual,3825,1,4209003,40,32,3.072901487350464,18.0,0.5625,0.9305118918418884,2.9491661521448256,4,2015,pub
82,Universidade,Estadual,3833,1,4219309,37,29,2.3222897052764893,13.0,0.4482758641242981,-0.3528498411178589,2.356879250325505,3,2015,pub
82,Universidade,Estadual,3841,1,4217204,5,4,1.390346884727478,3.0,0.75,-7.509112358093262,1.2995541259135879,2,2015,pub
82,Universidade,Estadual,17992,1,4210506,3,3,1.6397826671600342,2.0,0.6666666865348816,-7.062536239624023,1.5775847533436906,2,2015,pub
82,Universidade,Estadual,17994,1,4219507,3,1,,,,,,SC,2015,pub
82,Universidade,Estadual,72886,1,4203907,1,0,,,,,,SC,2015,pub
82,Universidade,Estadual,121108,1,4204202,30,26,2.661745071411133,12.0,0.4615384638309479,1.7688629627227783,3.1587100070059386,4,2015,pub
83,Universidade,Privada,3927,1,4208203,313,256,2.6826093196868896,96.0,0.375,0.46885183453559875,2.575189981065458,3,2015,priv
83,Universidade,Privada,3942,1,4202305,35,25,2.5192461013793945,15.0,0.6000000238418579,1.469353199005127,3.1729160264844802,4,2015,priv
83,Universidade,Privada,3946,1,4218004,94,74,2.3244380950927734,34.0,0.45945945382118225,0.5294767022132874,2.65977994404467,3,2015,priv
83,Universidade,Privada,68748,1,4202008,12,3,1.2013949155807495,1.0,0.3333333432674408,,2.658823464296146,3,2015,priv
83,Universidade,Privada,89888,1,4202008,122,80,2.5914738178253174,36.0,0.44999998807907104,0.39229753613471985,2.7110819879744503,3,2015,priv
83,Universidade,Privada,150146,1,4216602,40,36,2.7954020500183105,18.0,0.5,-0.6177656054496765,2.791539602543237,3,2015,priv
87,Centro Universitário,Privada,20227,1,4202909,81,58,2.3202872276306152,20.0,0.3448275923728943,1.3287498950958252,2.9871492225563516,4,2015,priv
95,Universidade,Estadual,4102,1,2312908,30,26,2.847254514694214,18.0,0.692307710647583,-0.3225635290145874,2.2441933422443983,3,2015,pub
107,Universidade,Federal,4190,1,3162500,76,71,3.775470018386841,59.0,0.8309859037399292,-0.5835234522819519,3.202727132099152,4,2015,pub
109,Faculdade,Privada,4226,1,3502101,45,27,1.4716031551361084,10.0,0.37037035822868347,-1.170361042022705,2.1323771588917033,3,2015,priv
124,Centro Universitário,Privada,4310,1,3503208,99,79,2.6652278900146484,47.0,0.594936728477478,0.3783760666847229,2.755142665045133,3,2015,priv
125,Centro Universitário,Privada,18219,1,3503307,25,18,1.7543367147445679,12.0,0.6666666865348816,-2.188145875930786,2.9671645902158037,4,2015,priv
125,Centro Universitário,Privada,1143419,1,3503307,3,2,2.069798469543457,2.0,1.0,-0.8558666706085205,,Curso não reconhecido até 31/12/2015,2015,priv
135,Centro Universitário,Privada,20620,1,3505906,44,37,2.282508134841919,24.0,0.6486486196517944,0.16014151275157928,3.071712543455919,4,2015,priv
135,Centro Universitário,Privada,89302,1,3505906,194,159,2.4759044647216797,43.0,0.2704402506351471,-0.3123500347137451,2.9875543314166526,4,2015,priv
137,Universidade,Privada,89409,1,3506003,128,106,2.0588245391845703,61.0,0.5754716992378235,-0.40875184535980225,2.60370029328273,3,2015,priv
138,Centro Universitário,Privada,19007,1,3543402,56,54,1.7461928129196167,32.0,0.5925925970077515,-0.9731279015541077,2.0000169194600477,3,2015,priv
139,Faculdade,Privada,4489,1,3170107,4,4,2.7687089443206787,2.0,0.5,5.599472522735596,4.071345627014151,5,2015,priv
