area,nomarea,ies,nomies,ca,curso,N,enade,ce,ano
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1822,FACULDADE SUL-AMERICANA,Privada com fins lucrativos,50109,18,2.454738949,3,2018
1,ADMINISTRAÇÃO,163,UNIVERSIDADE ESTÁCIO DE SÁ,Privada com fins lucrativos,50110,108,2.491902025,3,2018
13,CIÊNCIAS ECONÔMICAS,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,50158,19,2.263367692,3,2018
18,PSICOLOGIA,163,UNIVERSIDADE ESTÁCIO DE SÁ,Privada com fins lucrativos,50163,239,1.20446821,2,2018
26,DESIGN,13,UNIVERSIDADE DE CAXIAS DO SUL,Privada sem fins lucrativos,50164,3,2.382304816,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1038,FACULDADES INTEGRADAS DE TRÊS LAGOAS,Privada sem fins lucrativos,50178,1,,SC,2018
2,DIREITO,1123,INSTITUTO DE EDUCAÇÃO SUPERIOR UNYAHNA DE SALVADOR,Privada com fins lucrativos,50179,33,1.442591264,2,2018
26,DESIGN,1049,INSTITUTO DE ENSINO SUPERIOR FUCAPI,Privada sem fins lucrativos,50183,25,1.342187105,2,2018
67,SECRETARIADO EXECUTIVO,18492,Universidade Estadual do Paraná,Pessoa Jurídica de Direito Público - Estadual,50198,23,0.870074818,1,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1385,FACULDADES INTEGRADAS IPEP,Privada sem fins lucrativos,50200,0,,SC,2018
38,SERVIÇO SOCIAL,18492,Universidade Estadual do Paraná,Pessoa Jurídica de Direito Público - Estadual,50201,20,3.375724527,4,2018
29,TURISMO,18492,Universidade Estadual do Paraná,Pessoa Jurídica de Direito Público - Estadual,50203,12,1.700958272,2,2018
1,ADMINISTRAÇÃO,163,UNIVERSIDADE ESTÁCIO DE SÁ,Privada com fins lucrativos,50210,62,2.92656671,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1571,FACULDADE UNIME DE CIÊNCIAS SOCIAIS,Privada com fins lucrativos,50223,19,2.598136387,3,2018
22,CIÊNCIAS CONTÁBEIS,1773,CENTRO UNIVERSITÁRIO FAI,Privada com fins lucrativos,50225,26,3.656554258,4,2018
29,TURISMO,705,FACULDADE SÃO JOSÉ,Privada sem fins lucrativos,50227,33,2.650803575,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1612,Faculdade Assis Gurgacz,Privada sem fins lucrativos,50240,29,2.587408375,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1510,CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,Privada com fins lucrativos,50273,64,1.854555295,2,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1510,CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,Privada com fins lucrativos,50274,62,1.157286324,2,2018
26,DESIGN,1816,INSTITUTO DE ENSINO SUPERIOR DE BAURU,Privada com fins lucrativos,50306,2,1.692906302,2,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1590,FACULDADE ESTÁCIO DE SÃO LUÍS,Privada com fins lucrativos,50311,85,1.649261619,2,2018
22,CIÊNCIAS CONTÁBEIS,1590,FACULDADE ESTÁCIO DE SÃO LUÍS,Privada com fins lucrativos,50312,4,2.177416673,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,60,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,Pessoa Jurídica de Direito Público - Municipal,50384,18,2.908934919,3,2018
2,DIREITO,1609,FACULDADE DOS CERRADOS PIAUIENSES,Privada com fins lucrativos,50387,18,0.773822254,1,2018
1,ADMINISTRAÇÃO,1867,FACULDADE DE CIÊNCIAS GERENCIAIS DE SANTOS DUMONT,Privada sem fins lucrativos,50394,25,1.993935332,3,2018
67,SECRETARIADO EXECUTIVO,1309,Faculdade Projeção de Taguatinga Norte,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,50435,45,0.039046122,1,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,546,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,Privada sem fins lucrativos,50500,143,2.439235935,3,2018
18,PSICOLOGIA,1292,Centro Universitário de Adamantina,Pessoa Jurídica de Direito Público - Municipal,50538,43,1.275305595,2,2018
1,ADMINISTRAÇÃO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50570,13,3.473707468,4,2018
1,ADMINISTRAÇÃO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50574,27,3.645833578,4,2018
1,ADMINISTRAÇÃO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50576,39,3.173399633,4,2018
2,DIREITO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50578,52,2.256713539,3,2018
18,PSICOLOGIA,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50584,32,3.027938828,4,2018
2,DIREITO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50586,79,2.981082235,4,2018
2,DIREITO,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50594,53,1.52055112,2,2018
18,PSICOLOGIA,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50596,33,2.232654528,3,2018
18,PSICOLOGIA,322,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,50611,21,3.40938816,4,2018
2,DIREITO,1819,CENTRO UNIVERSITÁRIO FARIAS BRITO,Privada com fins lucrativos,50648,109,2.54475699,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,549,UNIVERSIDADE FEDERAL DO ACRE,Pessoa Jurídica de Direito Público - Federal,50684,35,2.510470096,3,2018
1,ADMINISTRAÇÃO,1873,FACULDADE MERCÚRIO,Privada sem fins lucrativos,50716,18,2.127969509,3,2018
1,ADMINISTRAÇÃO,1532,FACULDADE DE SERTÃOZINHO,Privada com fins lucrativos,50725,27,1.178703088,2,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1509,Centro Universitário Estácio de Belo Horizonte - Estácio BH,Privada com fins lucrativos,50767,16,1.727479462,2,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1660,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,Privada com fins lucrativos,50773,11,1.010270604,2,2018
