area,ies,municipio,Ncursos,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
4301,208,3543402,1,8,7,3.0310466610708975,0,0.0,,3.2763011508772024,4,2014
4301,216,3106200,1,25,18,1.0003331129008726,11,0.6111111111111112,-2.9666697314524537,1.8098633038722478,2,2014
4301,227,3548500,1,30,26,2.08261978858153,15,0.5769230769230769,0.3014513169237958,2.7785101484448007,3,2014
4301,266,3538709,1,43,41,1.8739962265032857,23,0.5609756097560976,-0.2689905727309755,2.3254345886269343,3,2014
4301,271,3541406,1,29,28,1.061947830914442,12,0.42857142857142855,-1.0419154502540977,2.619293576471415,3,2014
4301,363,3550308,1,5,5,1.0731118568451707,1,0.2,,1.6939739998662455,2,2014
4301,367,3143302,1,26,21,1.6871607987767216,13,0.6190476190476191,-2.3402873309687564,1.600379937084156,2,2014
4301,370,3550308,1,24,21,1.0611272638619682,5,0.23809523809523808,-3.5724876199694946,2.062996598289751,3,2014
4301,371,3550308,1,145,110,0.4995517275339502,13,0.11818181818181818,,0.9328773243440502,1,2014
4301,434,3550308,1,6,5,4.100440332821476,1,0.2,,3.247334806555752,4,2014
4301,441,4213609,1,11,11,1.8879041315951572,2,0.18181818181818182,,,,2014
4301,456,3550308,1,202,128,1.1266483082867575,33,0.2578125,-0.32060014247393104,2.486444571752008,3,2014
4301,519,2927408,2,44,37,0.5795809117312943,14,0.3783783783783784,-1.8309277783008693,1.6051152166272975,2,2014
4301,530,3205309,1,50,39,2.1313266857413073,11,0.28205128205128205,-0.19337280735880247,1.9005629938383637,2,2014
4301,548,2111300,1,15,12,1.5682479624061139,2,0.16666666666666666,,2.197851681062527,3,2014
4301,549,1200401,1,13,11,0.8656336542405543,0,0.0,,1.2158944441729718,2,2014
4301,568,2111300,1,39,35,1.6672481889798756,23,0.6571428571428571,0.5741991814853682,,,2014
4301,569,1501402,1,56,45,0.9227360771708949,14,0.3111111111111111,-2.9302921419615897,1.8003038972930703,2,2014
4301,570,2408102,1,52,42,1.6209911908786183,13,0.30952380952380953,-0.8153480021829542,2.453019167000133,3,2014
4301,571,4106902,1,3,2,2.8089360251878888,0,0.0,,3.155004359720202,4,2014
4301,573,3205309,1,60,47,1.8319683249312737,26,0.5531914893617021,-0.5358078634364195,2.4848696614096917,3,2014
4301,575,3106200,1,50,39,1.555854970914762,20,0.5128205128205128,-2.2339116836549047,2.6369009372167462,3,2014
4301,577,2704302,1,23,18,2.8869721873669185,5,0.2777777777777778,6.851292567940196,3.0351368753277783,4,2014
4301,578,2927408,1,40,28,3.1131021747600522,4,0.14285714285714285,,3.0529308639291615,4,2014
4301,579,2507507,2,48,38,1.961712222641201,5,0.13157894736842105,,2.459482975236775,3,2014
4301,580,2611606,1,57,38,2.6512298669421064,17,0.4473684210526316,-0.2744203144219062,2.6078400598712688,3,2014
4301,581,4314902,1,13,11,2.947336367775718,3,0.2727272727272727,0.052188957765020895,2.8137492736493046,3,2014
