area,ies,curso,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
21,355,19210,4106902,63,59,3.10654499558,40.0,0.677966101695,1.351020593361,3.674815518,4,2017
21,376,1167959,3550308,16,11,1.467998946422,7.0,0.636363636364,-3.060326943178,1.33042785,2,2017
21,376,1167967,3550308,33,23,2.290082871068,12.0,0.521739130435,0.152925996751,2.357236238,3,2017
21,383,8062,1501402,137,119,2.232837011397,100.0,0.840336134454,-0.28214258388,2.528556168,3,2017
21,384,1107921,5201108,101,94,2.329293617791,82.0,0.872340425532,0.168637447247,3.09924141,4,2017
21,385,20575,2927408,256,226,2.623345121677,182.0,0.805309734513,0.014535193077,3.09270106,4,2017
21,386,1190126,5208707,79,70,1.864235597139,39.0,0.557142857143,0.134859242931,2.582487919,3,2017
21,387,1168245,5002704,89,73,1.872453492711,66.0,0.904109589041,-0.200013535423,2.147012193,3,2017
21,396,1070583,2927408,96,86,1.779873485081,68.0,0.790697674419,-0.701403154441,2.488406627,3,2017
21,398,8264,2800308,247,237,2.048048723598,159.0,0.670886075949,-0.249879747461,2.811029407,3,2017
21,402,21538,5300108,262,218,1.808708989597,148.0,0.678899082569,-0.445502372582,2.278517597,3,2017
21,402,1282869,5300108,7,7,1.058564900401,7.0,1.0,-4.061295427777,1.41589816,2,2017
21,403,1111011,5300108,142,133,2.195161660017,107.0,0.804511278195,-0.279060973878,3.155866473,4,2017
21,410,8475,2611606,229,209,1.565577797842,124.0,0.593301435407,-0.242564528616,2.73369532,3,2017
21,417,1107857,3550308,44,44,1.835606395358,27.0,0.613636363636,-0.226295195743,3.181306903,4,2017
21,420,8683,3529005,80,69,1.389738681737,48.0,0.695652173913,-0.959423886944,2.208430131,3,2017
21,423,49506,4317400,25,25,2.327412088559,20.0,0.8,0.669964406187,2.641462915,3,2017
21,423,1126141,4317509,27,27,3.182126271665,26.0,0.962962962963,1.495983916277,2.92143415,3,2017
21,423,1170808,4308508,39,37,2.605155720303,35.0,0.945945945946,0.716507868362,2.725347477,3,2017
21,426,64873,4316907,55,53,2.549559601909,43.0,0.811320754717,-0.225724321489,2.674763893,3,2017
21,430,8939,4113700,99,88,2.810467796222,69.0,0.784090909091,0.348043474984,2.526197146,3,2017
21,437,53274,4128104,64,59,2.38647209214,49.0,0.830508474576,0.306192784895,2.383238062,3,2017
21,437,61696,4104808,65,62,2.098524761822,53.0,0.854838709677,0.279694146687,2.340091032,3,2017
21,437,1112099,4108403,87,86,2.558385804701,74.0,0.860465116279,0.420919714146,2.52214689,3,2017
21,437,1190132,4118402,48,46,1.326395850516,33.0,0.717391304348,-0.861632546676,1.920805396,2,2017
21,441,119858,4204806,34,31,1.21983342415,17.0,0.548387096774,-0.972829631209,2.133994085,3,2017
21,446,18051,4306106,66,66,1.877039778359,43.0,0.651515151515,0.01413811457,2.408999866,3,2017
21,448,9264,4314902,176,162,2.484362930118,101.0,0.623456790123,-0.668643467723,2.913732906,3,2017
21,449,9275,4304606,35,33,1.77245221868,15.0,0.454545454545,-0.768684889316,2.209944773,3,2017
21,449,20973,4321501,77,70,3.231010307856,46.0,0.657142857143,1.765617970609,3.209472239,4,2017
21,449,59536,4316907,28,27,2.759784605297,19.0,0.703703703704,1.230908368538,3.189458266,4,2017
21,450,118388,1100122,72,71,0.806202692637,52.0,0.732394366197,-1.236802117562,1.739062716,2,2017
21,452,9430,1302603,5,5,1.035956885801,2.0,0.4,-2.405837117825,1.983228737,3,2017
21,453,1187695,1721000,26,24,2.640872044866,22.0,0.916666666667,1.421261657758,3.27705894,4,2017
21,457,5738,3547809,49,42,1.291693971977,26.0,0.619047619048,-1.250516246175,1.90750911,2,2017
21,457,44878,3548708,70,67,1.115068396257,33.0,0.492537313433,-2.289342359659,1.455219842,2,2017
21,457,44880,3534401,47,45,1.452727969891,33.0,0.733333333333,-0.314150656635,1.796984692,2,2017
21,458,9552,3550308,19,18,0.929044334042,3.0,0.166666666667,,2.018047439,3,2017
21,460,9602,3550308,83,80,2.403341862282,54.0,0.675,-0.693387186264,2.395387287,3,2017
21,466,101630,3550308,598,423,2.215581038757,266.0,0.628841607565,-0.032987219615,2.834002626,3,2017
21,472,1180833,3301702,61,56,1.905668359722,44.0,0.785714285714,-0.326622093964,3.057051848,4,2017
21,481,9822,3518800,157,142,1.110014587895,72.0,0.507042253521,-0.666826595117,2.480781467,3,2017
21,482,64975,4204608,68,53,2.2505096985,36.0,0.679245283019,0.125403613981,2.324129214,3,2017
21,494,19460,4218707,52,41,2.515715294884,28.0,0.682926829268,1.211842135825,2.489845448,3,2017
21,494,19471,4205407,72,72,3.132131528506,55.0,0.763888888889,0.465589564806,2.780210262,3,2017
21,496,10149,3516200,58,58,2.180917063677,49.0,0.844827586207,-0.063327863883,2.893248595,3,2017
21,502,1204495,3548500,14,12,2.118217630229,7.0,0.583333333333,-0.520766881136,2.874486683,3,2017
21,513,65152,3127701,82,73,1.54674827236,55.0,0.753424657534,-0.619591376668,1.69250271,2,2017
21,515,20148,3303302,127,97,1.165864709077,71.0,0.731958762887,-0.975007065895,1.915871928,2,2017
21,518,1205875,5300108,44,43,1.623175919097,21.0,0.488372093023,0.087905308535,2.886584185,3,2017
21,521,10585,3530607,133,113,1.605048165794,80.0,0.70796460177,-0.397620030689,2.417409755,3,2017
21,526,10737,3530607,83,76,1.938011912034,44.0,0.578947368421,0.205150655593,3.173827213,4,2017
21,527,10800,5208707,275,235,2.860846343994,175.0,0.744680851064,-0.288561570167,2.285134304,3,2017
21,528,59962,3304557,142,123,3.386427958669,106.0,0.861788617886,-0.557400373706,2.652838031,3,2017
21,555,18324,2304400,431,364,3.005033659483,311.0,0.854395604396,-0.354229714806,2.805012033,3,2017
21,568,11891,2111300,107,106,3.445846539179,91.0,0.858490566038,0.134307476913,2.826945654,3,2017
21,569,12002,1501402,96,65,3.648293523624,56.0,0.861538461538,0.09640383969,3.012440611,4,2017
21,570,12343,2408102,46,45,4.577491448303,42.0,0.933333333333,0.868716956496,3.635663596,4,2017
21,571,12567,4106902,124,120,4.845900559763,114.0,0.95,0.025558041284,3.365907968,4,2017
21,572,12697,3303302,72,65,3.756420960276,57.0,0.876923076923,-0.198105658684,3.10447963,4,2017
21,573,12830,3205309,113,94,3.489134582823,83.0,0.882978723404,-1.322195260005,2.587809861,3,2017
21,574,49813,3305554,91,91,2.855203670943,87.0,0.956043956044,-0.894550838571,2.908261163,3,2017
21,575,12942,3106200,259,253,4.607655405332,235.0,0.928853754941,-0.432640867458,3.334493074,4,2017
21,576,13114,3136702,89,75,3.713584593127,73.0,0.973333333333,-1.739108480796,2.617121487,3,2017
21,577,13194,2704302,86,83,3.087968624906,68.0,0.819277108434,0.142367875885,2.860925636,3,2017
21,577,101932,2700300,65,65,1.909867262839,36.0,0.553846153846,-0.179027570624,2.510032813,3,2017
21,578,13266,2927408,218,178,3.447195059328,129.0,0.724719101124,-0.458928345125,2.638457379,3,2017
21,578,117044,2927408,37,30,3.53442813248,13.0,0.433333333333,0.068549798343,2.854248652,3,2017
21,579,13427,2507507,117,110,3.373424105525,98.0,0.890909090909,-1.506463389805,2.628510563,3,2017
21,580,13610,2611606,297,276,4.043134554618,266.0,0.963768115942,-0.894542649112,2.888813926,3,2017
21,581,13702,4314902,105,103,4.697400336822,92.0,0.893203883495,0.302454882503,3.41897914,4,2017
21,582,13896,4316907,45,45,4.284547873293,38.0,0.844444444444,0.743222000392,3.233567958,4,2017
21,583,13987,2304400,128,119,4.31562006605,108.0,0.90756302521,-1.280830531458,3.09744023,4,2017
21,584,122584,5208707,36,30,3.860506934338,28.0,0.933333333333,-1.662254444525,2.787804701,3,2017
21,585,14215,4205407,113,112,4.698614293836,98.0,0.875,0.423151358484,3.393730417,4,2017
21,586,14333,3304557,149,132,3.422527689195,124.0,0.939393939394,-0.645509001629,2.949275732,4,2017
21,586,14338,3304557,9,6,0.0,6.0,1.0,-11.54935919424,1.62537792,2,2017
21,588,120749,4106902,104,101,4.463696869494,97.0,0.960396039604,-0.795915522001,3.009333847,4,2017
21,621,43154,2704302,72,70,1.791717499958,54.0,0.771428571429,0.349979032739,2.31459792,3,2017
21,622,14903,3304557,46,45,1.080250084877,14.0,0.311111111111,-3.981545553611,0.649320017,1,2017
21,634,14978,4314407,70,68,3.668574281264,65.0,0.955882352941,-0.214903471268,3.116181112,4,2017
21,649,118534,4128203,31,29,0.734219815828,22.0,0.758620689655,-1.9152962776,1.36916179,2,2017
21,664,106552,3205200,55,51,3.725044152195,38.0,0.745098039216,2.185811917872,3.579481547,4,2017
21,665,15356,3554102,75,72,2.19409536272,63.0,0.875,-0.437153291351,2.258022533,3,2017
21,669,47716,1302603,70,64,0.967212521976,46.0,0.71875,-0.754681568623,1.829433235,2,2017
21,670,21608,3523404,168,150,2.449887097132,127.0,0.846666666667,-0.311441425049,2.741645063,3,2017
21,671,15536,5002704,421,311,0.925560530383,255.0,0.819935691318,-0.261997712172,1.934040363,2,2017
21,673,15606,5003702,27,26,2.927202722159,21.0,0.807692307692,2.478591174077,3.875771404,4,2017
21,694,21543,5002704,89,81,3.532629620404,78.0,0.962962962963,-0.466540763609,2.577716631,3,2017
21,707,68685,3548906,30,28,1.959507594711,20.0,0.714285714286,0.106034998361,2.794726161,3,2017
21,718,18679,2408102,191,159,1.522680862609,137.0,0.861635220126,-0.368664935538,2.308496417,3,2017
21,718,1137423,2408003,109,101,1.466469233208,88.0,0.871287128713,-0.246262346299,2.548983718,3,2017
21,719,51628,5101704,77,73,2.398267267287,65.0,0.890410958904,0.180234748539,2.303315351,3,2017
21,724,1204846,2408102,15,15,2.542941928649,12.0,0.8,2.681175214573,2.782393315,3,2017
21,738,1055349,3527207,82,79,2.003695063414,61.0,0.772151898734,-0.023179458628,2.226362685,3,2017
21,780,18471,5103403,141,118,1.551893703253,100.0,0.847457627119,-0.242052061276,2.252931904,3,2017
21,789,97073,1400100,12,8,3.006521020539,5.0,0.625,-5.025370226709,1.252054759,2,2017
21,794,1192255,5108402,16,16,2.950639868436,15.0,0.9375,1.665560895866,3.532242216,4,2017
21,798,50071,3200607,37,35,2.534057849806,31.0,0.885714285714,0.404051739073,2.847398035,3,2017
21,823,55336,2111300,121,99,1.350451454358,76.0,0.767676767677,-1.10694426279,2.478540019,3,2017
21,830,94451,1600303,98,82,2.223965785141,58.0,0.707317073171,-0.098614553954,2.472726717,3,2017
21,861,90644,1600303,147,134,1.477162376395,94.0,0.701492537313,-0.167243025258,2.044686529,3,2017
21,878,43993,3119401,61,61,2.380995787787,48.0,0.786885245902,-0.892086665372,2.465117237,3,2017
