area,curso,N,idd,ano
21,82643,33.0,0.833174982203,2017
21,6422,50.0,-0.1482781991,2017
21,100086,38.0,-0.336540305938,2017
21,68101,95.0,0.08335252778,2017
21,6574,30.0,-0.573785570796,2017
21,96306,133.0,-0.149206165873,2017
21,20107,50.0,0.684966417162,2017
21,6816,16.0,-2.533129275515,2017
21,1190185,20.0,1.67977688144,2017
21,66254,218.0,0.037173789479,2017
21,7273,12.0,-1.124534668809,2017
21,7302,43.0,0.871365973242,2017
21,7305,38.0,0.624369614321,2017
21,19547,44.0,1.241891450117,2017
21,59612,31.0,-0.112484854911,2017
21,59688,33.0,1.666056193007,2017
21,59713,48.0,0.493690708021,2017
21,60010,106.0,-0.065794293021,2017
21,60020,137.0,-0.319700239605,2017
21,75159,24.0,1.956789264943,2017
21,75996,43.0,-0.088995068394,2017
21,115454,67.0,0.000248631891,2017
21,1156001,60.0,1.327884188695,2017
21,1156002,51.0,0.695155631582,2017
21,1160943,45.0,0.655183186671,2017
21,1160999,31.0,-0.414583822722,2017
21,1161030,28.0,0.452970372734,2017
21,1258833,9.0,3.198753364781,2017
21,5000428,36.0,1.089307244641,2017
21,5000431,27.0,0.430657513096,2017
21,86577,57.0,-0.333675183306,2017
21,7515,151.0,0.026098647275,2017
21,18588,126.0,-0.01943325541,2017
21,1113670,42.0,0.360245628716,2017
21,93392,63.0,0.726073211922,2017
21,1314241,,,2017
21,55439,113.0,0.186238840342,2017
21,38551,115.0,-0.096962314688,2017
21,19210,40.0,1.351020593361,2017
21,1167959,7.0,-3.060326943178,2017
21,1167967,12.0,0.152925996751,2017
21,8062,100.0,-0.28214258388,2017
21,1107921,82.0,0.168637447247,2017
21,20575,182.0,0.014535193077,2017
21,1190126,39.0,0.134859242931,2017
21,1168245,66.0,-0.200013535423,2017
21,1070583,68.0,-0.701403154441,2017
21,8264,159.0,-0.249879747461,2017
21,21538,148.0,-0.445502372582,2017
21,1282869,7.0,-4.061295427777,2017
21,1111011,107.0,-0.279060973878,2017
21,8475,124.0,-0.242564528616,2017
21,1107857,27.0,-0.226295195743,2017
21,8683,48.0,-0.959423886944,2017
21,49506,20.0,0.669964406187,2017
21,1126141,26.0,1.495983916277,2017
21,1170808,35.0,0.716507868362,2017
21,64873,43.0,-0.225724321489,2017
21,8939,69.0,0.348043474984,2017
21,53274,49.0,0.306192784895,2017
21,61696,53.0,0.279694146687,2017
21,1112099,74.0,0.420919714146,2017
21,1190132,33.0,-0.861632546676,2017
21,119858,17.0,-0.972829631209,2017
21,18051,43.0,0.01413811457,2017
21,9264,101.0,-0.668643467723,2017
21,9275,15.0,-0.768684889316,2017
21,20973,46.0,1.765617970609,2017
21,59536,19.0,1.230908368538,2017
21,118388,52.0,-1.236802117562,2017
21,9430,2.0,-2.405837117825,2017
21,1187695,22.0,1.421261657758,2017
21,5738,26.0,-1.250516246175,2017
21,44878,33.0,-2.289342359659,2017
21,44880,33.0,-0.314150656635,2017
21,9552,3.0,,2017
21,9602,54.0,-0.693387186264,2017
21,101630,266.0,-0.032987219615,2017
21,1180833,44.0,-0.326622093964,2017
21,9822,72.0,-0.666826595117,2017
21,64975,36.0,0.125403613981,2017
21,19460,28.0,1.211842135825,2017
21,19471,55.0,0.465589564806,2017
21,10149,49.0,-0.063327863883,2017
21,1204495,7.0,-0.520766881136,2017
21,65152,55.0,-0.619591376668,2017
21,20148,71.0,-0.975007065895,2017
21,1205875,21.0,0.087905308535,2017
21,10585,80.0,-0.397620030689,2017
21,10737,44.0,0.205150655593,2017
21,10800,175.0,-0.288561570167,2017
21,59962,106.0,-0.557400373706,2017
21,18324,311.0,-0.354229714806,2017
21,11891,91.0,0.134307476913,2017
21,12002,56.0,0.09640383969,2017
21,12343,42.0,0.868716956496,2017
21,12567,114.0,0.025558041284,2017
21,12697,57.0,-0.198105658684,2017
21,12830,83.0,-1.322195260005,2017
21,49813,87.0,-0.894550838571,2017
21,12942,235.0,-0.432640867458,2017
21,13114,73.0,-1.739108480796,2017
21,13194,68.0,0.142367875885,2017
21,101932,36.0,-0.179027570624,2017
21,13266,129.0,-0.458928345125,2017
21,117044,13.0,0.068549798343,2017
21,13427,98.0,-1.506463389805,2017
21,13610,266.0,-0.894542649112,2017
21,13702,92.0,0.302454882503,2017
21,13896,38.0,0.743222000392,2017
21,13987,108.0,-1.280830531458,2017
21,122584,28.0,-1.662254444525,2017
21,14215,98.0,0.423151358484,2017
21,14333,124.0,-0.645509001629,2017
21,14338,6.0,-11.54935919424,2017
21,120749,97.0,-0.795915522001,2017
21,43154,54.0,0.349979032739,2017
21,14903,14.0,-3.981545553611,2017
21,14978,65.0,-0.214903471268,2017
21,118534,22.0,-1.9152962776,2017
21,106552,38.0,2.185811917872,2017
21,15356,63.0,-0.437153291351,2017
21,47716,46.0,-0.754681568623,2017
21,21608,127.0,-0.311441425049,2017
21,15536,255.0,-0.261997712172,2017
21,15606,21.0,2.478591174077,2017
21,21543,78.0,-0.466540763609,2017
21,68685,20.0,0.106034998361,2017
21,18679,137.0,-0.368664935538,2017
21,1137423,88.0,-0.246262346299,2017
21,51628,65.0,0.180234748539,2017
21,1204846,12.0,2.681175214573,2017
21,1055349,61.0,-0.023179458628,2017
21,18471,100.0,-0.242052061276,2017
21,97073,5.0,-5.025370226709,2017
21,1192255,15.0,1.665560895866,2017
21,50071,31.0,0.404051739073,2017
21,55336,76.0,-1.10694426279,2017
21,94451,58.0,-0.098614553954,2017
21,90644,94.0,-0.167243025258,2017
21,43993,48.0,-0.892086665372,2017
